'a'er'bo'te 阿尔伯特
'zui'e'bu'fa'luo 罪恶布法罗
'zui'e'de'zheng'zhao 罪恶的征兆
'zui'e'zhi'yan 罪恶之眼
'zui'shang'ji 最上级
'zui'xia'ji'di'shi 最下级滴石
'zui'xia'ji'di'shi 最下级砥石
'zui'xia'ji'ying'hua'ji 最下级硬化剂
'zui'xiao'zhi 最小值
'zuo'lun'jing'tong 左轮精通
'zuo'lun'qiang 左轮枪
