'an'bao'mi'zhuan'li'shen'qing'chu'li 按保密专利申请处理
'guan'yu'guo'ji'shen'qing'zhong'bu'de'shi'yong'de'biao'da'deng'de'tong'zhi'shu 关于国际申请中不得使用的表达等的通知书
'guan'yu'he'shen'qing'ren'de'fei'zheng'shi'lian'xi'tong'zhi'shu 关于和申请人的非正式联系通知书
'guan'yu'hui'bi'qing'qiu'de'chu'li'jue'ding 关于回避请求的处理决定
'guan'yu'jin'xing'zhuan'li'dai'li'ji'gou'nian'jian'gong'zuo'de'tong'zhi 关于进行专利代理机构年检工作的通知
'guan'yu'sheng'wu'cai'liao'yang'pin'bao'cang'de'bu'zheng'tong'zhi'shu 关于生物材料样品保藏的补正通知书
'guan'yu'shi'shi'zhuan'li'quan'hai'guan'bao'hu'ruo'gan'wen'ti'de'gui'ding 关于实施专利权海关保护若干问题的规定
'guan'yu'shou'li'tai'bao'guo'ji'shen'qing'de'tong'zhi 关于受理台胞国际申请的通知
'guan'yu'shou'li'tai'bao'zhuan'li'shen'qing'de'gui'ding 关于受理台胞专利申请的规定
'guan'yu'shuo'ming'shu'zhu'yao'bu'fen'zhong'zi'you'nei'rong'de'tong'zhi'shu 关于说明书主要部分中自由内容的通知书
'guan'yu'tai'bao'shen'qing'zhuan'li'shou'xu'zhong'ruo'gan'wen'ti'de'chu'li'ban'fa 关于台胞申请专利手续中若干问题的处理办法
'guan'yu'wo'guo'xue'zhe'zai'guo'wai'wan'cheng'de'fa'ming'chuang'zao'shen'qing'zhuan'li'de'gui'ding 关于我国学者在国外完成的发明创造申请专利的规定
'guan'yu'xiang'gang'hui'gui'hou'zhong'guo'nei'di'he'xiang'gang'zhuan'li'shen'qing'ruo'gan'wen'ti'de'shuo'ming 关于香港回归后中国内地和香港专利申请若干问题的说明
'guan'yu'xiang'shen'qing'ren'chu'ju'you'xian'quan'zheng'ming'de'ban'fa 关于向申请人出具优先权证明的办法
'guan'yu'xie'zhu'zhi'xing'de'tong'zhi 关于协助执行的通知
'guan'yu'xiu'gai'bu'yu'kao'lv'de'tong'zhi'shu 关于修改不予考虑的通知书
'guan'yu'xiu'gai'guo'ji'jian'suo'dan'wei'zai'xian'zhi'ding'de'zhai'yao'de'tong'zhi'shu 关于修改国际检索单位在先制定的摘要的通知书
'guan'yu'yan'chang'qi'xian'de'tong'zhi'shu 关于延长期限的通知书
'guan'yu'yang'pin'chu'li'de'tong'zhi 关于样品处理的通知
'guan'yu'zai'xiang'gang'te'bie'xing'zheng'qu'zhi'shi'chan'quan'shu'ti'chu'de'shou'ci'shen'qing'de'you'xian'quan'de'gui'ding 关于在香港特别行政区知识产权署提出的首次申请的优先权的规定
'guan'yu'zhong'guo'shi'shi'zhuan'li'he'zuo'tiao'yue'de'gui'ding 关于中国实施专利合作条约的规定
'guan'yu'zhong'jian'wen'jian'reng'cun'zai'que'xian'tong'zhi'shu 关于中间文件仍存在缺陷通知书
'guan'yu'zhuan'li'dai'li'ji'gou'shou'qu'zhuan'li'dai'li'fei'de'tong'zhi 关于专利代理机构收取专利代理费的通知
'guang'dian'bu 光电部
'guang'dian'ji'shu'bu 光电技术部
'guang'dian'ji'shu'fa'ming'shen'cha'bu 光电技术发明审查部
'guang'gao'shi'xuan'chuan'yong'yu 广告式宣传用语
'guang'gao'xuan'chuan'ce 广告宣传册
'gui'ding'de'xue'shu'hui'yi'huo'zhe'ji'shu'hui'yi 规定的学术会议或者技术会议
'gui'ding'ge'shi 规定格式
'gui'fan'ci 规范词
'gui'fan'xing'wen'jian 规范性文件
'gui'shu'jiu'fen 归属纠纷
'guo'du'ban'fa 过渡办法
'guo'du'de'shi'yan 过度的实验
'guo'du'shi'yan 过度实验
'guo'du'yong'yu 过渡用语
'guo'fang'zhuan'li 国防专利
'guo'fang'zhuan'li'bu'chang'fei 国防专利补偿费
'guo'fang'zhuan'li'dai'li'ji'gou 国防专利代理机构
'guo'fang'zhuan'li'fu'shen'wei'yuan'hui 国防专利复审委员会
'guo'fang'zhuan'li'ji'gou 国防专利机构
'guo'fang'zhuan'li'jiu'fen 国防专利纠纷
'guo'fang'zhuan'li'ju 国防专利局
'guo'fang'zhuan'li'nei'bu'tong'bao 国防专利内部通报
'guo'fang'zhuan'li'quan 国防专利权
'guo'fang'zhuan'li'quan'ren 国防专利权人
'guo'fang'zhuan'li'shen'qing 国防专利申请
'guo'fang'zhuan'li'shen'qing'quan 国防专利申请权
'guo'fang'zhuan'li'shi'shi'fei 国防专利实施费
'guo'fang'zhuan'li'shi'shi'xu'ke 国防专利实施许可
'guo'fang'zhuan'li'shi'shi'xu'ke'he'tong 国防专利实施许可合同
'guo'fang'zhuan'li'shi'wu 国防专利事务
'guo'fang'zhuan'li'shi'yong'fei 国防专利使用费
'guo'fang'zhuan'li'tiao'li 国防专利条例
'guo'fang'zhuan'li'zheng'shu 国防专利证书
'guo'ji'bao'cang'dan'wei 国际保藏单位
'guo'ji'biao'zhun 国际标准
'guo'ji'cheng'ren'yong'yu'zhuan'li'cheng'xu'wei'sheng'wu'ji'cun'bu'da'pei'si'tiao'yue 国际承认用于专利程序微生物寄存布达佩斯条约
'guo'ji'chu'bu'bao'gao 国际初步报告
'guo'ji'chu'bu'bao'gao'fu'jian 国际初步报告附件
'guo'ji'chu'bu'shen'cha 国际初步审查
'guo'ji'chu'bu'shen'cha'bao'gao 国际初步审查报告
'guo'ji'chu'bu'shen'cha'bao'gao'fu'jian 国际初步审查报告附件
'guo'ji'chu'bu'shen'cha'dan'wei 国际初步审查单位
'guo'ji'chu'bu'shen'cha'dan'wei'shu'mian'yi'jian 国际初步审查单位书面意见
'guo'ji'chu'bu'shen'cha'jie'duan 国际初步审查阶段
'guo'ji'chu'bu'shen'cha'yao'qiu'shu 国际初步审查要求书
'guo'ji'chu'shen 国际初审
'guo'ji'chu'shen'bao'gao 国际初审报告
'guo'ji'chu'shen'bao'gao'fu'jian 国际初审报告附件
'guo'ji'chu'shen'dan'wei 国际初审单位
'guo'ji'chu'shen'dan'wei'shu'mian'yi'jian 国际初审单位书面意见
'guo'ji'chu'shen'jie'duan 国际初审阶段
'guo'ji'dan'wei'cuo'wu 国际单位错误
'guo'ji'dan'wei'zhi 国际单位制
'guo'ji'dan'wei'zhi'ji'liang'dan'wei 国际单位制计量单位
'guo'ji'fa 国际法
'guo'ji'fei 国际费
'guo'ji'fen'lei 国际分类
'guo'ji'fen'lei'hao 国际分类号
'guo'ji'gong'bu 国际公布
'guo'ji'gong'bu'hao 国际公布号
'guo'ji'gong'bu'ri 国际公布日
'guo'ji'gong'bu'wen'ben 国际公布文本
'guo'ji'gong'bu'wen'jian 国际公布文件
'guo'ji'gong'bu'yu'yan 国际公布语言
'guo'ji'gong'kai'hao 国际公开号
'guo'ji'jian'suo 国际检索
'guo'ji'jian'suo'bao'gao 国际检索报告
'guo'ji'jian'suo'dan'wei 国际检索单位
'guo'ji'jian'suo'dan'wei'shu'mian'yi'jian 国际检索单位书面意见
'guo'ji'jian'suo'he'chu'bu'shen'cha'zhi'nan 国际检索和初步审查指南
'guo'ji'jian'suo'jie'duan 国际检索阶段
'guo'ji'jie'duan 国际阶段
'guo'ji'ju 国际局
'guo'ji'ju'tong'zhi 国际局通知
'guo'ji'ju'tong'zhi'xiao'li 国际局通知效力
'guo'ji'ju'tong'zhi'xiao'li'sang'shi 国际局通知效力丧失
'guo'ji'shen'qing 国际申请
'guo'ji'shen'qing'an'juan 国际申请案卷
'guo'ji'shen'qing'bu'neng'jin'ru'guo'jia'jie'duan'tong'zhi'shu 国际申请不能进入国家阶段通知书
'guo'ji'shen'qing'de'gong'bu'shu'ju 国际申请的公布数据
'guo'ji'shen'qing'de'shen'qing'shu'ju 国际申请的申请数据
'guo'ji'shen'qing'fei 国际申请费
'guo'ji'shen'qing'fu'ben 国际申请副本
'guo'ji'shen'qing'hao 国际申请号
'guo'ji'shen'qing'hao'tong'zhi'shu 国际申请号通知书
'guo'ji'shen'qing'jin'ru'guo'jia'jie'duan'chu'bu'shen'cha'he'ge'tong'zhi'shu 国际申请进入国家阶段初步审查合格通知书
'guo'ji'shen'qing'jin'ru'guo'jia'jie'duan'ri 国际申请进入国家阶段日
'guo'ji'shen'qing'ri 国际申请日
'guo'ji'shen'qing'ti'chu'shi'dui'fa'ming'gong'kai'de'fan'wei 国际申请提出时对发明公开的范围
'guo'ji'shen'qing'wen'ben 国际申请文本
'guo'ji'shen'qing'wen'jian 国际申请文件
'guo'ji'shen'qing'xiao'li 国际申请效力
'guo'ji'tiao'yue 国际条约
'guo'ji'zhan'lan'hui 国际展览会
'guo'ji'zhuan'li 国际专利
'guo'ji'zhuan'li'fen'lei 国际专利分类
'guo'ji'zhuan'li'fen'lei'biao 国际专利分类表
'guo'ji'zhuan'li'fen'lei'hao 国际专利分类号
'guo'ji'zhuan'li'fen'lei'si'te'la'si'bao'xie'ding 国际专利分类斯特拉斯堡协定
'guo'ji'zhuan'li'shen'qing 国际专利申请
'guo'jia'biao'zhun 国家标准
'guo'jia'dai'ma 国家代码
'guo'jia'fa'ding'ji'liang'dan'wei 国家法定计量单位
'guo'jia'fa'lv 国家法律
'guo'jia'gong'bu 国家公布
'guo'jia'ji'hua'xu'ke 国家计划许可
'guo'jia'jie'duan 国家阶段
'guo'jia'jie'duan'cheng'xu 国家阶段程序
'guo'jia'ju 国家局
'guo'jia'mi'mi 国家秘密
'guo'jia'mi'mi'wen'jian 国家秘密文件
'guo'jia'shen'qing 国家申请
'guo'jia'shen'qing'hao 国家申请号
'guo'jia'xuan'ding'de'qi'ta'ji'liang'dan'wei 国家选定的其他计量单位
'guo'jia'zhi'shi'chan'quan'ju 国家知识产权局
'guo'jia'zhi'shi'chan'quan'ju'gong'gao 国家知识产权局公告
'guo'jia'zhi'shi'chan'quan'ju'gui'zhang'zhi'ding'cheng'xu'de'gui'ding 国家知识产权局规章制定程序的规定
'guo'jia'zhi'shi'chan'quan'ju'ju'zhang'ling 国家知识产权局局长令
'guo'jia'zhi'shi'chan'quan'ju'ling 国家知识产权局令
'guo'jia'zhi'shi'chan'quan'ju'xing'zheng'fu'yi'gui'cheng 国家知识产权局行政复议规程
'guo'jia'zhi'shi'chan'quan'ju'xing'zheng'fu'yi'jue'ding'shu 国家知识产权局行政复议决定书
'guo'jia'zhi'shi'chan'quan'ju'zhuan'li'jian'suo'zi'xun'zhong'xin 国家知识产权局专利检索咨询中心
'guo'jia'zhi'shi'chan'quan'ju'zhuan'li'ju 国家知识产权局专利局
'guo'min'dai'yu 国民待遇
'guo'min'dai'yu'yuan'ze 国民待遇原则
'guo'nei'fa 国内法
'guo'nei'shen'qing 国内申请
'guo'nei'shen'qing'ti'jiao'shu'ju 国内申请提交数据
'guo'nei'shou'ci'shen'qing 国内首次申请
'guo'nei'xin'ying'xing 国内新颖性
'guo'nei'you'xian'quan 国内优先权
'guo'nei'you'xian'quan'zai'xian'shen'qing'wen'jian'fu'ben'zhi'zuo'dan 国内优先权在先申请文件副本制作单
'guo'nei'zai'hou'shen'qing 国内在后申请
'guo'nei'zhuan'li'shi'wu 国内专利事务
'guo'shi'qin'quan 过失侵权
'guo'wu'yuan'zhuan'li'xing'zheng'bu'men 国务院专利行政部门
'guo'yu'shang'wei 过于上位
'guo'zhi'ju 国知局
'han'yi'bu'qing 含义不清
'han'zi'bian'ma'fang'fa 汉字编码方法
'hang'ye'biao'zhun 行业标准
'hao'wu'yi'yi'de'que'ding 毫无疑义地确定
'he'an 合案
'he'an'shen'cha 合案审查
'he'an'shen'cha'yuan'ze 合案审查原则
'he'an'shen'qing 合案申请
'he'bing'shen'li 合并审理
'he'cheng'wu 合成物
'he'fa'ji'cheng'ren 合法继承人
'he'fa'lai'yuan 合法来源
'he'fa'tu'jing 合法途径
'he'fa'xing 合法性
'he'fa'yuan'ze 合法原则
'he'gan'suan'he'huo'an'ji'suan'xu'lie'biao'he'xu'lie'biao'dian'zi'wen'jian'biao'zhun 核苷酸和或氨基酸序列表和序列表电子文件标准
'he'gan'suan'huo'zhe'an'ji'suan'xu'lie 核苷酸或者氨基酸序列
'he'gan'suan'huo'zhe'an'ji'suan'xu'lie'biao 核苷酸或者氨基酸序列表
'he'gan'suan'xu'lie 核苷酸序列
'he'hu'qing'li 合乎情理
'he'hua 贺化
'he'lan'yi'xue'wen'zhai 荷兰医学文摘
'he'li'chang'de'shi'jian 合理长的时间
'he'li'de'bao'hu'fan'wei 合理的保护范围
'he'li'li'you 合理理由
'he'li'tiao'jian 合理条件
'he'li'xian'ding 合理限定
'he'li'yu'ce 合理预测
'he'li'yu'qi 合理预期
'he'shi'you'xian'quan 核实优先权
'he'tong'lv'xing'di 合同履行地
'he'tong'lv'xing'qi'jian 合同履行期间
'he'tong'lv'xing'qi'xian 合同履行期限
'he'tong'qi'xian 合同期限
'he'tong'you'xian'shi'yong 合同优先适用
'he'tong'you'xian'shi'yong'yuan'ze 合同优先适用原则
'he'tong'yue'ding 合同约定
'he'tong'yue'ding'yuan'ze 合同约定原则
'he'yi'shen'cha 合议审查
'he'yi'zu 合议组
'he'yi'zu'cheng'yuan 合议组成员
'he'yi'zu'cheng'yuan'gao'zhi'tong'zhi'shu 合议组成员告知通知书
'he'yi'zu'ping'yi'ji'lu'biao 合议组评议记录表
'he'zuo'kai'fa 合作开发
'he'zuo'kai'fa'he'tong 合作开发合同
'he'zuo'wan'cheng 合作完成
'he'zuo'zhe 合作者
'hou'dao'qi'zhe 后到期者
'hou'shi'tu 后视图
'hou'ti'jiao'fei 后提交费
'hou'xu'cheng'xu 后续程序
'hou'xu'shen'cha'cheng'xu 后续审查程序
'hou'yi 后一
'hu'hui 互惠
'hu'hui'guo 互惠国
'hu'hui'yuan'ze 互惠原则
'hu'jian 互检
'hua'he'wu 化合物
'hua'he'wu'quan'li'yao'qiu 化合物权利要求
'hua'xue'bu 化学部
'hua'xue'chan'pin 化学产品
'hua'xue'cheng'fen 化学成分
'hua'xue'fa'ming'bu 化学发明部
'hua'xue'fa'ming'shen'cha'bu 化学发明审查部
'hua'xue'fan'ying'shi 化学反应式
'hua'xue'fang'cheng'shi 化学方程式
'hua'xue'fang'fa'quan'li'yao'qiu 化学方法权利要求
'hua'xue'hun'he'wu 化学混合物
'hua'xue'jie'gou'shi 化学结构式
'hua'xue'shi 化学式
'hua'xue'tong'shi 化学通式
'hua'xue'wen'zhai 化学文摘
'hua'xue'zu'fen 化学组分
'huan'jiao 缓缴
'hui'an 回案
'hui'an'chu'li 回案处理
'hui'bi 回避
'hui'bi'zhi'du 回避制度
'hui'fu'cai'ji'dan 恢复采集单
'hui'fu'cheng'xu 恢复程序
'hui'fu'cheng'xu'tong'zhi'shu 恢复程序通知书
'hui'fu'fei 恢复费
'hui'fu'qing'qiu'fei 恢复请求费
'hui'fu'quan'li 恢复权利
'hui'fu'quan'li'qing'qiu 恢复权利请求
'hui'fu'quan'li'qing'qiu'bu'zheng'tong'zhi'shu 恢复权利请求补正通知书
'hui'fu'quan'li'qing'qiu'fei 恢复权利请求费
'hui'fu'quan'li'qing'qiu'shen'pi'jue'ding 恢复权利请求审批决定
'hui'fu'quan'li'qing'qiu'shen'pi'tong'zhi'shu 恢复权利请求审批通知书
'hui'fu'quan'li'qing'qiu'shu 恢复权利请求书
'hui'fu'quan'li'tong'zhi'shu 恢复权利通知书
'hui'fu'shen'cha 恢复审查
'hui'fu'shi'zhi'shen'cha'cheng'xu 恢复实质审查程序
'hui'wu 会晤
'hui'wu'ji'lu 会晤记录
'hui'wu'shi 会晤室
'hui'wu'tong'zhi'shu 会晤通知书
'hui'yi'ji'lu 会议记录
'hun'he'mo'shi 混合模式
'hun'he'wu 混合物
'hun'he'xi'tong 混合系统
'hun'he'xin'ying'xing 混合新颖性
'huo'zhi'zhe 获知者
'ji'bei'shi'wei'che'hui 即被视为撤回
'ji'ben'ban 基本版
'ji'ben'fei 基本费
'ji'ben'jian'suo'yao'su 基本检索要素
'ji'ben'xiang'tong 基本相同
'ji'ben'zhuan'li 基本专利
'ji'bing'de'zhen'duan'he'zhi'liao'fang'fa 疾病的诊断和治疗方法
'ji'cheng 继承
'ji'cheng'dian'lu 集成电路
'ji'cheng'dian'lu'bu'tu'she'ji 集成电路布图设计
'ji'cheng'dian'lu'bu'tu'she'ji'bao'hu'tiao'li 集成电路布图设计保护条例
'ji'cheng'dian'lu'bu'tu'she'ji'bao'hu'tiao'li'shi'shi'xi'ze 集成电路布图设计保护条例实施细则
'ji'cheng'dian'lu'bu'tu'she'ji'chuang'zuo'zhe 集成电路布图设计创作者
'ji'cheng'dian'lu'bu'tu'she'ji'deng'ji 集成电路布图设计登记
'ji'cheng'dian'lu'bu'tu'she'ji'deng'ji'bu 集成电路布图设计登记簿
'ji'cheng'dian'lu'bu'tu'she'ji'deng'ji'fei 集成电路布图设计登记费
'ji'cheng'dian'lu'bu'tu'she'ji'deng'ji'gong'bao 集成电路布图设计登记公报
'ji'cheng'dian'lu'bu'tu'she'ji'deng'ji'gong'gao 集成电路布图设计登记公告
'ji'cheng'dian'lu'bu'tu'she'ji'deng'ji'shen'qing 集成电路布图设计登记申请
'ji'cheng'dian'lu'bu'tu'she'ji'deng'ji'shen'qing'biao 集成电路布图设计登记申请表
'ji'cheng'dian'lu'bu'tu'she'ji'deng'ji'shen'qing'ren 集成电路布图设计登记申请人
'ji'cheng'dian'lu'bu'tu'she'ji'deng'ji'shou'fei'xiang'mu'he'biao'zhun 集成电路布图设计登记收费项目和标准
'ji'cheng'dian'lu'bu'tu'she'ji'deng'ji'zheng'shu 集成电路布图设计登记证书
'ji'cheng'dian'lu'bu'tu'she'ji'gong'gao 集成电路布图设计公告
'ji'cheng'dian'lu'bu'tu'she'ji'quan'li'ren 集成电路布图设计权利人
'ji'cheng'dian'lu'bu'tu'she'ji'shen'qing 集成电路布图设计申请
'ji'cheng'dian'lu'bu'tu'she'ji'xing'zheng'zhi'fa'ban'fa 集成电路布图设计行政执法办法
'ji'cheng'dian'lu'bu'tu'she'ji'xing'zheng'zhi'fa'wei'yuan'hui 集成电路布图设计行政执法委员会
'ji'cheng'dian'lu'bu'tu'she'ji'zhuan'you'quan 集成电路布图设计专有权
'ji'cheng'dian'lu'yang'pin 集成电路样品
'ji'cheng'dian'lu'yang'pin'qing'dan 集成电路样品清单
'ji'cheng'ren 继承人
'ji'chu'ri 寄出日
'ji'fa'qin'quan 即发侵权
'ji'guan'fu'wu'zhong'xin 机关服务中心
'ji'he'wu 集合物
'ji'hua'xu'ke 计划许可
'ji'ji'xiao'guo 积极效果
'ji'jian 机检
'ji'jian'fang'shi 机检方式
'ji'jian'shu'ju 机检数据
'ji'jian'shu'ju'ku 机检数据库
'ji'liang'dan'wei 计量单位
'ji'shu'bao'gao 技术报告
'ji'shu'chang'gui 技术常规
'ji'shu'cheng'guo 技术成果
'ji'shu'chuan'bo'zhe 技术传播者
'ji'shu'chuang'xin 技术创新
'ji'shu'cuo'shi 技术措施
'ji'shu'dong'yin 技术动因
'ji'shu'fang'an 技术方案
'ji'shu'ge'xin 技术革新
'ji'shu'gou'si 技术构思
'ji'shu'guan'lian 技术关联
'ji'shu'gui'fan 技术规范
'ji'shu'he'zuo 技术合作
'ji'shu'hui'yi 技术会议
'ji'shu'huo'zhi'zhe 技术获知者
'ji'shu'jiao'dao 技术教导
'ji'shu'jie'jue'fang'an 技术解决方案
'ji'shu'jin'bu 技术进步
'ji'shu'jue'qiao 技术诀窍
'ji'shu'kai'fa 技术开发
'ji'shu'kai'fa'he'tong 技术开发合同
'ji'shu'ling'yu 技术领域
'ji'shu'mi'mi 技术秘密
'ji'shu'mu'di 技术目的
'ji'shu'nan'ti 技术难题
'ji'shu'nei'rong 技术内容
'ji'shu'pian'jian 技术偏见
'ji'shu'qi'shi 技术启示
'ji'shu'qing'bao 技术情报
'ji'shu'ren'wu 技术任务
'ji'shu'shou'ce 技术手册
'ji'shu'shou'duan 技术手段
'ji'shu'shu'yu 技术术语
'ji'shu'te'xing 技术特性
'ji'shu'te'zheng 技术特征
'ji'shu'tu'zhi 技术图纸
'ji'shu'wen'ti 技术问题
'ji'shu'wen'xian 技术文献
'ji'shu'xiao'guo 技术效果
'ji'shu'xin'xi 技术信息
'ji'shu'xing 技术性
'ji'shu'yao'dian 技术要点
'ji'shu'yao'qiu 技术要求
'ji'shu'zhi'shi 技术知识
'ji'shu'zhi'wu 技术职务
'ji'shu'zhu'ti 技术主题
'ji'shu'zhuan'jia 技术专家
'ji'shu'zhuan'rang 技术转让
'ji'shu'zi'liao 技术资料
'ji'suan'ji'cheng'xu 计算机程序
'ji'suan'ji'cheng'xu'ben'shen 计算机程序本身
'ji'suan'ji'cheng'xu'xiang'guan'zhuan'li'shen'qing 计算机程序相关专利申请
'ji'suan'ji'han'zi'shu'ru'fang'fa 计算机汉字输入方法
'ji'suan'ji'jian'suo 计算机检索
'ji'suan'ji'jiao'yan'wei 计算机校验位
'ji'suan'ji'ke'du'jie'zhi 计算机可读介质
'ji'suan'ji'ke'du'xing'shi 计算机可读形式
'ji'suan'ji'ke'du'xing'shi'de'fu'ben 计算机可读形式的副本
'ji'suan'ji'zhu'lu'xiang'mu'bian'geng'xiu'gai'jiao'dui'dan 计算机著录项目变更修改校对单
'ji'xie'bu 机械部
'ji'xie'fa'ming'bu 机械发明部
'ji'xie'fa'ming'shen'cha'bu 机械发明审查部
'ji'xie'gou'zao 机械构造
'ji'xie'pei'he'guan'xi 机械配合关系
'ji'xing'gong'bu 即行公布
'ji'xu'jin'xing'shen'cha'cheng'xu 继续进行审查程序
'ji'xu'shen'cha 继续审查
'ji'xu'you'xiao 继续有效
'ji'zai'de'fan'wei 记载的范围
'ji'zai'de'ji'shu'te'zheng 记载的技术特征
'ji'zai'de'nei'rong 记载的内容
'ji'zhun'ri 基准日
'jia'cong'shu 假从属
'jia'cong'shu'quan'li'yao'qiu 假从属权利要求
'jia'kuai'shen'cha'cheng'xu 加快审查程序
'jia'kuai'shen'cha'jin'cheng 加快审查进程
'jia'mao'ta'ren'zhuan'li 假冒他人专利
'jia'mao'ta'ren'zhuan'li'xing'wei 假冒他人专利行为
'jia'mao'ta'ren'zhuan'li'zui 假冒他人专利罪
'jia'mao'zhuan'li 假冒专利
'jia'mao'zhuan'li'xing'wei 假冒专利行为
'jia'na'da'zhi'shi'chan'quan'ju 加拿大知识产权局
'jian'chi'yuan'bo'hui'jue'ding 坚持原驳回决定
'jian'chi'yuan'bo'hui'shen'qing'de'jue'ding 坚持原驳回申请的决定
'jian'chi'yuan'jue'ding 坚持原决定
'jian'dan'de'wen'zi'bian'huan 简单的文字变换
'jian'ding'bao'gao 鉴定报告
'jian'ding'bu'men 鉴定部门
'jian'ding'hui 鉴定会
'jian'ding'jie'lun 鉴定结论
'jian'ding'ren 鉴定人
'jian'huan 减缓
'jian'jiao 减缴
'jian'jie'qin'quan 间接侵权
'jian'jie'qin'quan'xing'wei 间接侵权行为
'jian'jie'shi'shi 间接事实
'jian'li'gong'ye'pin'wai'guan'she'ji'guo'ji'fen'lei'luo'jia'nuo'xie'ding 建立工业品外观设计国际分类洛迦诺协定
'jian'li'shi'jie'zhi'shi'chan'quan'zu'zhi'gong'yue 建立世界知识产权组织公约
'jian'lue'shuo'ming 简略说明
'jian'suo 检索
'jian'suo'bao'gao 检索报告
'jian'suo'ben 检索本
'jian'suo'ce'lue 检索策略
'jian'suo'cheng'du 检索程度
'jian'suo'fei 检索费
'jian'suo'fu'jia'fei 检索附加费
'jian'suo'jie'guo 检索结果
'jian'suo'ling'yu 检索领域
'jian'suo'ming'zhong'lv 检索命中率
'jian'suo'qing'qiu 检索请求
'jian'suo'ru'kou 检索入口
'jian'suo'shi 检索式
'jian'suo'shou'duan 检索手段
'jian'suo'shu'ju'ku 检索数据库
'jian'suo'shun'xu 检索顺序
'jian'suo'si'lu 检索思路
'jian'suo'xi'tong 检索系统
'jian'suo'yao'su 检索要素
'jian'suo'yong'fei'zhuan'li'wen'xian 检索用非专利文献
'jian'suo'yong'zhuan'li'wen'xian 检索用专利文献
'jian'suo'zhong'xin 检索中心
'jian'suo'zhu'ti 检索主题
'jian'suo'zi'liao 检索资料
'jian'suo'zi'xun'zhong'xin 检索咨询中心
'jian'yao'shuo'ming 简要说明
'jian'zhi'fu'shen'wei'yuan 兼职复审委员
'jian'zhi'fu'shen'yuan 兼职复审员
'jiang'ying 姜颖
'jiao'cha'bao'hu 交叉保护
'jiao'fei'qing'dan 缴费清单
'jiao'fei'ri 缴费日
'jiao'fei'shou'xu 缴费手续
'jiao'fei'tong'zhi'shu 缴费通知书
'jiao'fu'ri 交付日
'jiao'jie'dan 交接单
'jiao'ke'shu 教科书
'jiao'na'dan'yi'xing'hui'fu'fei'tong'zhi'shu 缴纳单一性恢复费通知书
'jiao'na'fei'yong 缴纳费用
'jiao'na'fu'jia'fei'he'shi'yong'shi'yi'yi'fei'de'tong'zhi 缴纳附加费和适用时异议费的通知
'jiao'na'qi'xian 缴纳期限
'jiao'na'shen'qing'fei 缴纳申请费
'jiao'na'shen'qing'fei'tong'zhi'shu 缴纳申请费通知书
'jiao'na'you'xian'quan'yao'qiu'fei'tong'zhi'shu 缴纳优先权要求费通知书
'jiao'yan'wei 校验位
'jiao'zao'shen'qing 较早申请
'jie'an 结案
'jie'an'an'juan 结案案卷
'jie'an'jie'lun'deng'ji'biao'tie 结案结论登记标贴
'jie'an'ri 结案日
'jie'an'ri'qi 结案日期
'jie'an'tong'zhi'dan 结案通知单
'jie'an'tong'zhi'shu 结案通知书
'jie'chu'tiao'jian 解除条件
'jie'chu'wei'tuo 解除委托
'jie'diao 借调
'jie'gou'te'zheng 结构特征
'jie'gou'xian'ding 结构限定
'jie'guo'ze'ren 结果责任
'jie'he'dui'bi 结合对比
'jie'he'fang'shi 结合方式
'jie'jue'de'ji'shu'wen'ti 解决的技术问题
'jie'jue'fang'an 解决方案
'jie'jue'shou'duan 解决手段
'jie'man'ri 届满日
'jie'mi 解密
'jie'mi'shen'cha 解密审查
'jie'mi'tong'zhi'shu 解密通知书
'jie'shi'quan'li'yao'qiu 解释权利要求
'jie'shi'yuan'ze 解释原则
'jie'shi'zuo'yong 解释作用
'jie'shou'lei'biao'ge 接受类表格
'jie'shou'wei'tuo 接受委托
'jie'yue'yuan'ze 节约原则
'jie'zhi'ri 截止日
'jin'kou'quan 进口权
'jin'kou'xing'wei 进口行为
'jin'ru'guo'jia'jie'duan 进入国家阶段
'jin'ru'guo'jia'jie'duan'ri 进入国家阶段日
'jin'ru'guo'jia'jie'duan'ri'qi 进入国家阶段日期
'jin'ru'shi'zhi'shen'cha'cheng'xu 进入实质审查程序
'jin'ru'shi'zhi'shen'cha'cheng'xu'tong'zhi'shu 进入实质审查程序通知书
'jin'ru'zhong'guo'guo'jia'jie'duan 进入中国国家阶段
'jin'ru'zhong'guo'guo'jia'jie'duan'sheng'ming 进入中国国家阶段声明
'jin'xing'xiu'gai 进行修改
'jin'yi'bu'xian'ding 进一步限定
'jin'zhi'chong'fu'shou'quan 禁止重复授权
'jin'zhi'chong'fu'shou'yu'zhuan'li'quan 禁止重复授予专利权
'jin'zhi'fan'hui 禁止反悔
'jin'zhi'fan'hui'yuan'ze 禁止反悔原则
'jing'chang'ju'suo'huo'zhe'ying'ye'suo 经常居所或者营业所
'jing'xiu'gai'de'shen'qing'wen'jian 经修改的申请文件
'jing'yan'fa'ze 经验法则
'jiu'ban'shen'cha'zhi'nan 旧版审查指南
'jiu'ban'zhi'nan 旧版指南
'jiu'fen'an'jian 纠纷案件
'ju'bei'chuang'zao'xing 具备创造性
'ju'bei'dan'yi'xing 具备单一性
'ju'bei'shi'yong'xing 具备实用性
'ju'bei'xin'ying'xing 具备新颖性
'ju'gong'gao 局公告
